index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
0,"['V14', 'V17', 'V10']",3,5,-14.874143403753811,0.9798539669978604,"(0.7761194029850748,)","(0.7428571428571429,)","(0.8125,)",0.9603279725728904,"(0.7053701015965167,)","(0.6639344262295082,)","(0.7523219814241486,)"
1,"['V14', 'V17', 'V10', 'V16', 'V11']",5,5,-21.783244428442522,0.9758219393886105,"(0.6444444444444444,)","(0.6904761904761905,)","(0.6041666666666666,)",0.956056354016687,"(0.5509181969949918,)","(0.5978260869565217,)","(0.5108359133126935,)"
2,"['V2', 'V12', 'V19', 'V9', 'V27', 'V21', 'V28', 'V24']",8,1,-152.525624681923,0.9305713092411854,"(0.16037735849056603,)","(0.14655172413793102,)","(0.17708333333333334,)",0.9159370041471938,"(0.1515601783060921,)","(0.1457142857142857,)","(0.15789473684210525,)"
3,"['V2', 'V10', 'V19', 'V22', 'V17', 'V3']",6,1,-128.6426910548402,0.9686911984524751,"(0.5000000000000001,)","(0.65,)","(0.40625,)",0.95280784251851,"(0.42447418738049714,)","(0.555,)","(0.34365325077399383,)"
4,"['V15', 'V4', 'V18', 'V6', 'V5', 'V21', 'V1', 'V3']",8,4,-64.92878794675791,0.949783112049005,"(0.3661971830985915,)","(0.5652173913043478,)","(0.2708333333333333,)",0.936632816459603,"(0.3083700440528634,)","(0.5343511450381679,)","(0.21671826625386997,)"
5,"['V2', 'V23', 'V16', 'V7', 'V10', 'V22', 'V28', 'V26']",8,5,-34.997540964199594,0.9365699830006743,"(0.37288135593220334,)","(0.4074074074074074,)","(0.34375,)",0.9346775545003869,"(0.3253424657534247,)","(0.36398467432950193,)","(0.29411764705882354,)"
6,"['V25', 'V12', 'V10', 'V11', 'V20', 'V26']",6,4,-26.677831493920323,0.9514757173422432,"(0.5560975609756098,)","(0.5229357798165137,)","(0.59375,)",0.9419857085664718,"(0.5069984447900467,)","(0.509375,)","(0.5046439628482973,)"
7,"['V14', 'V23', 'V4', 'V13', 'V5', 'V27', 'V22']",7,4,-29.70451917291756,0.9669753289955744,"(0.4365482233502538,)","(0.42574257425742573,)","(0.4479166666666667,)",0.9526140770652083,"(0.36746987951807225,)","(0.35777126099706746,)","(0.37770897832817335,)"
8,"['V2', 'V12', 'V20', 'V27', 'V21', 'V3']",6,6,-25.131242196030097,0.9333371801635452,"(0.40163934426229514,)","(0.3310810810810811,)","(0.5104166666666666,)",0.938203378772946,"(0.3715012722646311,)","(0.31533477321814257,)","(0.4520123839009288,)"
9,"['V2', 'V25', 'V10', 'V28', 'V27', 'V17']",6,6,-28.603717870853885,0.9659579339957208,"(0.5185185185185185,)","(0.6363636363636364,)","(0.4375,)",0.950788768298216,"(0.4316831683168317,)","(0.5989010989010989,)","(0.33746130030959753,)"
10,"['V25', 'V16', 'V7', 'V5', 'V27', 'V17', 'V26']",7,4,-45.06755832280857,0.9558473651044872,"(0.5153374233128833,)","(0.6268656716417911,)","(0.4375,)",0.9427672873052652,"(0.46,)","(0.6497175141242938,)","(0.3560371517027864,)"
11,"['V19', 'V9', 'V27', 'V22', 'V26']",5,7,-16.78400958223867,0.8965874952372579,"(0.15833333333333333,)","(0.13194444444444445,)","(0.19791666666666666,)",0.8799722027156547,"(0.14500683994528046,)","(0.12990196078431374,)","(0.16408668730650156,)"
12,"['V25', 'V13', 'V5', 'V21', 'V22', 'V1']",6,1,-119.62234811462042,0.8059832864386411,"(0.13131313131313133,)","(0.12745098039215685,)","(0.13541666666666666,)",0.7901378242645847,"(0.0626086956521739,)","(0.07142857142857142,)","(0.05572755417956656,)"
13,"['V14', 'V25', 'V7', 'V18', 'V21', 'V28', 'V24']",7,2,-38.3549270033808,0.9548471892493918,"(0.44660194174757284,)","(0.41818181818181815,)","(0.4791666666666667,)",0.9545055435163685,"(0.3771251931993817,)","(0.3765432098765432,)","(0.37770897832817335,)"
14,"['V14', 'V25', 'V23', 'V10', 'V9', 'V28', 'V24', 'V26']",8,1,-71.38041838221226,0.9575784386998446,"(0.2824207492795389,)","(0.1952191235059761,)","(0.5104166666666666,)",0.9390252317768039,"(0.25528007346189163,)","(0.1814621409921671,)","(0.43034055727554177,)"
15,"['V8', 'V2', 'V15', 'V23', 'V12', 'V10', 'V18', 'V17']",8,1,-186.20524086671804,0.9682059482986018,"(0.42931937172774876,)","(0.43157894736842106,)","(0.4270833333333333,)",0.948870631035915,"(0.3512195121951219,)","(0.3698630136986301,)","(0.33436532507739936,)"
16,"['V8', 'V15', 'V25', 'V9', 'V27', 'V3']",6,1,-153.30957460364408,0.8951018860458982,"(0.18421052631578946,)","(0.25,)","(0.14583333333333334,)",0.8787142350411805,"(0.12236286919831224,)","(0.19205298013245034,)","(0.08978328173374613,)"
17,"['V23', 'V12', 'V20', 'V9', 'V27', 'V22', 'V3']",7,2,-40.50335641666474,0.9175193806969724,"(0.405940594059406,)","(0.3867924528301887,)","(0.4270833333333333,)",0.921659618698202,"(0.36,)","(0.33421750663129973,)","(0.39009287925696595,)"
18,"['V12', 'V18', 'V9', 'V27', 'V21', 'V3', 'V24', 'V26']",8,2,-43.608928862487154,0.9221861352911868,"(0.47953216374269003,)","(0.5466666666666666,)","(0.4270833333333333,)",0.9164481891097214,"(0.4306049822064057,)","(0.5062761506276151,)","(0.3746130030959752,)"
19,"['V2', 'V15', 'V12', 'V19', 'V18', 'V13', 'V26']",7,1,-39.36366787113523,0.946817755502799,"(0.408,)","(0.33116883116883117,)","(0.53125,)",0.9291402451265333,"(0.3754693366708385,)","(0.31512605042016806,)","(0.46439628482972134,)"
20,"['V15', 'V25', 'V23', 'V7', 'V4', 'V18', 'V3', 'V26']",8,2,-57.35269906250814,0.9430500600838242,"(0.3466666666666667,)","(0.48148148148148145,)","(0.2708333333333333,)",0.9314339683906996,"(0.30701754385964913,)","(0.5263157894736842,)","(0.21671826625386997,)"
21,"['V8', 'V15', 'V23', 'V10', 'V7', 'V21', 'V28']",7,4,-29.485823353016364,0.9176728875406664,"(0.2363636363636364,)","(0.20967741935483872,)","(0.2708333333333333,)",0.9169906854705043,"(0.2023121387283237,)","(0.1897018970189702,)","(0.21671826625386997,)"
22,"['V8', 'V25', 'V7', 'V11', 'V1']",5,5,-17.854747671626416,0.9060525293824555,"(0.3793103448275862,)","(0.28350515463917525,)","(0.5729166666666666,)",0.9069216501197347,"(0.3281733746130031,)","(0.24613003095975233,)","(0.49226006191950467,)"
23,"['V15', 'V23', 'V7', 'V19', 'V18', 'V13', 'V22']",7,3,-27.102577124486466,0.9135382777924324,"(0.31818181818181823,)","(0.35,)","(0.2916666666666667,)",0.9124891316863426,"(0.2698961937716263,)","(0.3058823529411765,)","(0.24148606811145512,)"
24,"['V23', 'V16', 'V4', 'V19', 'V11', 'V22', 'V26']",7,2,-29.940266134957984,0.966238203054017,"(0.44549763033175355,)","(0.40869565217391307,)","(0.4895833333333333,)",0.9479147706084914,"(0.38748137108792846,)","(0.3735632183908046,)","(0.4024767801857585,)"
25,"['V8', 'V23', 'V19', 'V17', 'V20', 'V6', 'V22', 'V28']",8,2,-66.33788046084507,0.9511395776546792,"(0.36458333333333326,)","(0.3645833333333333,)","(0.3645833333333333,)",0.9413677230882259,"(0.2973856209150326,)","(0.314878892733564,)","(0.28173374613003094,)"
26,"['V25', 'V13', 'V9', 'V21', 'V22', 'V28']",6,1,-378.8775355540635,0.841489529294528,"(0.05357142857142857,)","(0.1875,)","(0.03125,)",0.8400408887659143,"(0.016216216216216217,)","(0.06382978723404255,)","(0.009287925696594427,)"
27,"['V15', 'V10', 'V20', 'V27', 'V22', 'V28', 'V24']",7,4,-23.39982939587955,0.9126833655734342,"(0.17061611374407587,)","(0.1565217391304348,)","(0.1875,)",0.9192986655564551,"(0.1715976331360947,)","(0.1643059490084986,)","(0.17956656346749225,)"
28,"['V15', 'V7', 'V12', 'V10', 'V17', 'V6', 'V28']",7,3,-29.94209907836884,0.9649368753480465,"(0.6341463414634148,)","(0.5963302752293578,)","(0.6770833333333334,)",0.9473011911750507,"(0.5462555066079294,)","(0.5195530726256983,)","(0.5758513931888545,)"
29,"['V8', 'V14', 'V10', 'V4', 'V19', 'V6', 'V21', 'V28']",8,1,-104.85712011389533,0.975837326709458,"(0.2706270627062706,)","(0.19806763285024154,)","(0.4270833333333333,)",0.9571196013156014,"(0.2336065573770492,)","(0.17457886676875958,)","(0.35294117647058826,)"
30,"['V2', 'V15', 'V16', 'V7', 'V11', 'V5', 'V28', 'V3']",8,6,-33.43552188581888,0.9510003590374865,"(0.48704663212435234,)","(0.4845360824742268,)","(0.4895833333333333,)",0.9510342168246144,"(0.4119496855345912,)","(0.4185303514376997,)","(0.4055727554179567,)"
31,"['V2', 'V15', 'V23', 'V16', 'V5', 'V3', 'V26']",7,1,-129.52754601985333,0.9278708344324278,"(0.2666666666666666,)","(0.26262626262626265,)","(0.2708333333333333,)",0.9102619681788743,"(0.21638330757341573,)","(0.21604938271604937,)","(0.21671826625386997,)"
32,"['V14', 'V10', 'V19', 'V27', 'V3']",5,3,-31.237514744737595,0.9766618306515431,"(0.6547619047619048,)","(0.7638888888888888,)","(0.5729166666666666,)",0.9566155698934993,"(0.583941605839416,)","(0.7111111111111111,)","(0.4953560371517028,)"
33,"['V8', 'V4', 'V19', 'V18', 'V20', 'V13', 'V21']",7,4,-41.72027067038898,0.9398295304668953,"(0.33939393939393936,)","(0.4057971014492754,)","(0.2916666666666667,)",0.9224713026176613,"(0.277992277992278,)","(0.36923076923076925,)","(0.22291021671826625,)"
34,"['V8', 'V25', 'V16', 'V19', 'V11', 'V20', 'V24']",7,4,-28.742117523617544,0.9467626176030951,"(0.4577114427860696,)","(0.4380952380952381,)","(0.4791666666666667,)",0.9362471618914717,"(0.3967479674796747,)","(0.4178082191780822,)","(0.37770897832817335,)"
35,"['V15', 'V7', 'V13', 'V27', 'V22', 'V26']",6,5,-19.25315597657168,0.8827094141094405,"(0.1370967741935484,)","(0.1118421052631579,)","(0.17708333333333334,)",0.8876761469282254,"(0.11171662125340599,)","(0.09975669099756691,)","(0.12693498452012383,)"
36,"['V2', 'V15', 'V23', 'V27', 'V24']",5,3,-37.94714720886576,0.8693632946452123,"(0.07518796992481204,)","(0.13513513513513514,)","(0.052083333333333336,)",0.8520685031742704,"(0.013986013986013984,)","(0.02830188679245283,)","(0.009287925696594427,)"
37,"['V2', 'V16', 'V10', 'V27', 'V3', 'V24']",6,3,-35.981725059475274,0.941073338902078,"(0.43529411764705883,)","(0.5,)","(0.3854166666666667,)",0.932442232271169,"(0.39355992844364934,)","(0.4661016949152542,)","(0.34055727554179566,)"
38,"['V15', 'V23', 'V4', 'V20', 'V5', 'V27']",6,6,-23.22717618648323,0.9128390706058208,"(0.21999999999999997,)","(0.21153846153846154,)","(0.22916666666666666,)",0.9020838966886027,"(0.14756671899529042,)","(0.14968152866242038,)","(0.14551083591331268,)"
39,"['V15', 'V25', 'V19', 'V18', 'V9', 'V21', 'V22', 'V1']",8,4,-43.30554674366052,0.934606450951083,"(0.2994011976047904,)","(0.352112676056338,)","(0.2604166666666667,)",0.9229073502761894,"(0.26796116504854367,)","(0.359375,)","(0.21362229102167182,)"
40,"['V14', 'V16', 'V10', 'V12', 'V18', 'V1', 'V17']",7,7,-30.815480070200252,0.9753374219643014,"(0.6781609195402298,)","(0.7564102564102564,)","(0.6145833333333334,)",0.9605121385445441,"(0.604982206405694,)","(0.7112970711297071,)","(0.5263157894736842,)"
41,"['V8', 'V2', 'V10', 'V11', 'V27', 'V21', 'V26']",7,6,-41.20207247082125,0.9355533207303848,"(0.4113475177304964,)","(0.6444444444444445,)","(0.3020833333333333,)",0.9291438972853453,"(0.3449781659388646,)","(0.5851851851851851,)","(0.24458204334365324,)"
42,"['V15', 'V23', 'V16', 'V4', 'V19', 'V18', 'V22']",7,7,-27.462903448623624,0.9731886925173657,"(0.4623655913978495,)","(0.4777777777777778,)","(0.4479166666666667,)",0.9531582487281985,"(0.39864864864864863,)","(0.43866171003717475,)","(0.3653250773993808,)"
43,"['V2', 'V14', 'V18', 'V5', 'V22', 'V24']",6,1,-71.71338011165047,0.9476570972185585,"(0.4095238095238095,)","(0.37719298245614036,)","(0.4479166666666667,)",0.9379943513165353,"(0.3564356435643564,)","(0.328125,)","(0.39009287925696595,)"
44,"['V14', 'V25', 'V16', 'V10', 'V11', 'V3']",6,3,-27.217634329719466,0.9690531668571764,"(0.6850828729281768,)","(0.7294117647058823,)","(0.6458333333333334,)",0.9505940814287004,"(0.6129597197898425,)","(0.7056451612903226,)","(0.541795665634675,)"
45,"['V15', 'V16', 'V10', 'V7', 'V19', 'V11', 'V9', 'V26']",8,6,-31.824216798760638,0.9674069067088719,"(0.5699481865284973,)","(0.5670103092783505,)","(0.5729166666666666,)",0.9513030023107611,"(0.5183946488294314,)","(0.5636363636363636,)","(0.47987616099071206,)"
46,"['V10', 'V7', 'V4', 'V19', 'V11', 'V9', 'V27', 'V24']",8,2,-55.69670788733987,0.9621352838594331,"(0.3741935483870968,)","(0.4915254237288136,)","(0.3020833333333333,)",0.9461872492313421,"(0.34136546184738953,)","(0.4857142857142857,)","(0.2631578947368421,)"
47,"['V12', 'V4', 'V13', 'V27', 'V1', 'V17', 'V26']",7,6,-28.893258780997805,0.9838574181541077,"(0.5900000000000001,)","(0.5673076923076923,)","(0.6145833333333334,)",0.9546286614755863,"(0.5085803432137286,)","(0.5125786163522013,)","(0.5046439628482973,)"
48,"['V15', 'V23', 'V4', 'V18', 'V13', 'V27', 'V28']",7,6,-23.429285341687482,0.9260133649872506,"(0.3794871794871795,)","(0.37373737373737376,)","(0.3854166666666667,)",0.914130944602564,"(0.32160804020100503,)","(0.35036496350364965,)","(0.29721362229102166,)"
49,"['V2', 'V14', 'V25', 'V7', 'V19', 'V11', 'V3', 'V26']",8,7,-29.545671711958224,0.9724447888273396,"(0.5297297297297298,)","(0.550561797752809,)","(0.5104166666666666,)",0.9599234373488825,"(0.4812286689419795,)","(0.5361216730038023,)","(0.43653250773993807,)"
50,"['V2', 'V12', 'V20', 'V21', 'V28', 'V24']",6,4,-27.711013701608977,0.9156976318180485,"(0.4035874439461883,)","(0.3543307086614173,)","(0.46875,)",0.9219616589331645,"(0.37283621837549924,)","(0.32710280373831774,)","(0.43343653250773995,)"
51,"['V14', 'V23', 'V13', 'V9', 'V17', 'V3']",6,2,-43.415510981718135,0.973985169553621,"(0.5948717948717948,)","(0.5858585858585859,)","(0.6041666666666666,)",0.9570749210057314,"(0.5199362041467304,)","(0.5361842105263158,)","(0.5046439628482973,)"
52,"['V25', 'V13', 'V5', 'V22', 'V28', 'V3', 'V24']",7,1,-152.3951959641507,0.8654906357161699,"(0.1917808219178082,)","(0.28,)","(0.14583333333333334,)",0.8494229161874953,"(0.10593220338983052,)","(0.16778523489932887,)","(0.07739938080495357,)"
53,"['V25', 'V10', 'V19', 'V20', 'V3', 'V24']",6,4,-50.782528333612184,0.9398141431460476,"(0.3816793893129771,)","(0.7142857142857143,)","(0.2604166666666667,)",0.9390784896339754,"(0.3017031630170316,)","(0.7045454545454546,)","(0.19195046439628483,)"
54,"['V8', 'V2', 'V14', 'V18', 'V28', 'V21', 'V17', 'V26']",8,5,-36.10216262694804,0.9616062531141005,"(0.4977375565610859,)","(0.44,)","(0.5729166666666666,)",0.9540057171028067,"(0.41948579161028415,)","(0.37259615384615385,)","(0.47987616099071206,)"
55,"['V15', 'V16', 'V12', 'V7', 'V4', 'V13', 'V21', 'V28']",8,1,-219.09680198867892,0.9446732392508572,"(0.31137724550898205,)","(0.36619718309859156,)","(0.2708333333333333,)",0.9424791520786236,"(0.25925925925925924,)","(0.3225806451612903,)","(0.21671826625386997,)"
56,"['V16', 'V10', 'V4', 'V11', 'V1', 'V28']",6,5,-22.732392675635406,0.9747283405140831,"(0.5898617511520738,)","(0.5289256198347108,)","(0.6666666666666666,)",0.9576371021674507,"(0.5086551264980027,)","(0.4462616822429907,)","(0.5913312693498453,)"
57,"['V2', 'V4', 'V20', 'V28', 'V22', 'V1', 'V17', 'V24']",8,2,-108.5317151963859,0.9658593818693397,"(0.3814432989690722,)","(0.37755102040816324,)","(0.3854166666666667,)",0.9514593917718168,"(0.30959752321981426,)","(0.30959752321981426,)","(0.30959752321981426,)"
58,"['V10', 'V19', 'V11', 'V20', 'V21', 'V24']",6,7,-20.78892404273344,0.9445182669480348,"(0.4380165289256198,)","(0.363013698630137,)","(0.5520833333333334,)",0.9484485889038402,"(0.4151967435549525,)","(0.3695652173913043,)","(0.47368421052631576,)"
59,"['V2', 'V4', 'V19', 'V18', 'V13', 'V21', 'V17', 'V24']",8,5,-42.33639700102107,0.970500674111199,"(0.5555555555555556,)","(0.6818181818181818,)","(0.46875,)",0.9606295939823011,"(0.4915572232645403,)","(0.6238095238095238,)","(0.4055727554179567,)"
60,"['V15', 'V16', 'V12', 'V10', 'V6', 'V1', 'V28', 'V24']",8,1,-82.28705391707906,0.9412244643746885,"(0.3557312252964427,)","(0.28662420382165604,)","(0.46875,)",0.9227254627155379,"(0.30731102850061953,)","(0.256198347107438,)","(0.38390092879256965,)"
61,"['V10', 'V19', 'V18', 'V5', 'V21', 'V22', 'V3', 'V24']",8,7,-33.27095642768781,0.9518464785017146,"(0.4117647058823529,)","(0.47297297297297297,)","(0.3645833333333333,)",0.946305374789982,"(0.37937384898710874,)","(0.4681818181818182,)","(0.3188854489164087,)"
62,"['V9', 'V27', 'V1', 'V17', 'V3']",5,6,-22.559752540813065,0.9666076819367508,"(0.6022727272727273,)","(0.6625,)","(0.5520833333333334,)",0.9468218202014407,"(0.524701873935264,)","(0.5833333333333334,)","(0.47678018575851394,)"
63,"['V25', 'V10', 'V6', 'V21', 'V17']",5,7,-26.18681956199037,0.9628436501655969,"(0.49142857142857144,)","(0.5443037974683544,)","(0.4479166666666667,)",0.9497829336059473,"(0.4288288288288288,)","(0.5129310344827587,)","(0.3684210526315789,)"
64,"['V15', 'V16', 'V12', 'V10', 'V11', 'V13', 'V3']",7,3,-33.024692221320976,0.9657771329757613,"(0.7,)","(0.75,)","(0.65625,)",0.9457411330065477,"(0.5860927152317881,)","(0.6298932384341637,)","(0.5479876160990712,)"
65,"['V2', 'V11', 'V9', 'V6', 'V21', 'V28', 'V3']",7,4,-46.56775317506211,0.9297365470852017,"(0.324022346368715,)","(0.3493975903614458,)","(0.3020833333333333,)",0.9258111013331167,"(0.2802101576182136,)","(0.3225806451612903,)","(0.2476780185758514,)"
66,"['V25', 'V10', 'V6', 'V9', 'V27']",5,1,-93.38536456199259,0.926427174008617,"(0.17391304347826086,)","(0.16216216216216217,)","(0.1875,)",0.8966045695241452,"(0.1641541038525963,)","(0.17883211678832117,)","(0.15170278637770898,)"
67,"['V14', 'V12', 'V4', 'V13', 'V22', 'V28', 'V26']",7,7,-20.705466637205834,0.9719602714030307,"(0.49789029535864987,)","(0.41843971631205673,)","(0.6145833333333334,)",0.958919244452777,"(0.4634146341463415,)","(0.41204819277108434,)","(0.5294117647058824,)"
68,"['V14', 'V15', 'V20', 'V13', 'V27', 'V1', 'V24']",7,5,-27.398495729410858,0.961195741375773,"(0.43575418994413406,)","(0.46987951807228917,)","(0.40625,)",0.9540038910234008,"(0.3373913043478261,)","(0.38492063492063494,)","(0.30030959752321984,)"
69,"['V16', 'V10', 'V7', 'V11', 'V17', 'V26']",6,7,-22.71516121537792,0.9712885415750754,"(0.5743589743589743,)","(0.5656565656565656,)","(0.5833333333333334,)",0.9579291743542795,"(0.5279999999999999,)","(0.5463576158940397,)","(0.5108359133126935,)"
70,"['V14', 'V23', 'V10', 'V12', 'V5', 'V22', 'V28']",7,3,-34.473353357639915,0.9672125501919752,"(0.5576923076923077,)","(0.5178571428571429,)","(0.6041666666666666,)",0.9558169030721909,"(0.45698166431593795,)","(0.41968911917098445,)","(0.5015479876160991,)"
71,"['V8', 'V23', 'V12', 'V4', 'V18', 'V1']",6,1,-206.08227184601014,0.9546117998769015,"(0.308641975308642,)","(0.3787878787878788,)","(0.2604166666666667,)",0.9347674847228773,"(0.24110671936758887,)","(0.3333333333333333,)","(0.18885448916408668,)"
72,"['V8', 'V11', 'V13', 'V21', 'V28', 'V24']",6,4,-24.69111652261424,0.9110539582051056,"(0.318407960199005,)","(0.3047619047619048,)","(0.3333333333333333,)",0.9012826666549172,"(0.2783171521035599,)","(0.29152542372881357,)","(0.26625386996904027,)"
73,"['V8', 'V25', 'V16', 'V4', 'V19', 'V6', 'V9', 'V27']",8,6,-37.57029401046261,0.9427842624344207,"(0.3756345177664975,)","(0.36633663366336633,)","(0.3854166666666667,)",0.9319202248563818,"(0.3424,)","(0.3543046357615894,)","(0.33126934984520123,)"
74,"['V14', 'V7', 'V20', 'V1', 'V3', 'V24']",6,4,-30.520033518849083,0.9614602567484393,"(0.5052631578947369,)","(0.5106382978723404,)","(0.5,)",0.9615036996620061,"(0.46280991735537197,)","(0.49645390070921985,)","(0.43343653250773995,)"
